shopify_product_handle,wp_product_id,wp_product_slug,variant_label,batch_id,purity,avg_purity,vials_tested,labeled_content,net_content,net_content_delta,endotoxins,heavy_metals,sterility,test_type,tested_at,coa_url,coa_file_path,is_current
glp-3-rt,,,GLP-3 RT,G361,99.93%,99.93%,1,10mg,11.11mg,1.11mg,Pass,Not Tested,Not Tested,HPLC,2026-03-20,https://vyxebq-j8.myshopify.com/cdn/shop/files/GLP-3_RT_10mg_-_G361.pdf,GLP-3_RT_10mg_-_G361.pdf,0
glp-3-rt,,,GLP-3 (RT) 20mg,G392,99.61%,99.61%,1,20mg,19.82mg,.18mg,Pass,Not Tested,Not Tested,HPLC-UV,2026-06-03,https://vyxebq-j8.myshopify.com/cdn/shop/files/g3-20mg.pdf,g3-20mg.pdf,1
glp-3-rt,,,10MG,R30,99.96,99.96,2,10MG,11.95mg,1.95mg,Pass,Not Tested,Not Tested,HPLC,2026-04-20,https://vyxebq-j8.myshopify.com/cdn/shop/files/Letter_-_2.pdf,Letter_-_2.pdf,1
mots-c,,,10mg,M0254,99.88,99.88,1,10mg,11.44mg,1.44mg,Not Tested,Not Tested,Not Tested,HPLC-UV,2026-03-21,https://vyxebq-j8.myshopify.com/cdn/shop/files/MOTS-C_10mg_-_M0254_ebf34e80-b304-4c70-aefb-bfcf7db64ba6.pdf?v=12532074813294101917,MOTS-C_10mg_-_M0254_ebf34e80-b304-4c70-aefb-bfcf7db64ba6.pdf,1
kpv,,,KPV,KV298,99.61%,99.61%,1,10mg,11.65mg,1.65,Not Tested,Not Tested,Not Tested,HPLC-UV,2025-08-05,https://vyxebq-j8.myshopify.com/cdn/shop/files/KPV_7402ed68-3940-4a8a-a684-5b780945fb01.pdf?v=12466673384552990970,KPV_7402ed68-3940-4a8a-a684-5b780945fb01.pdf,1
thymosin-alpha-1,,,THYMOSIN APLHA-1,T1358,99.34%,99.34%,1,10mg,11.64mg,1.64mg,Pass,Not Tested,Not Tested,HPLC-UV,2026-02-24,https://vyxebq-j8.myshopify.com/cdn/shop/files/Thymosin-Alpha.pdf?v=17571183044784763341,Thymosin-Alpha.pdf,1
epithalon,,,EPITHALON,EN129,99.83%,99.83%,1,10mg,9.79mg,-.21mg,Not Tested,Not Tested,Not Tested,HPLC-UV,2025-11-06,https://vyxebq-j8.myshopify.com/cdn/shop/files/Epithalon_e453da2f-d274-42f1-b10c-f9e9a104cbe5.pdf?v=18441055761176263066,Epithalon_e453da2f-d274-42f1-b10c-f9e9a104cbe5.pdf,1
melanotan-ii,,,MELANOTAN II,M2186,99.29%,99.29%,1,10mg,10.43mg,.43mg,Pass,Not Tested,Not Tested,HPLC-UV,2026-04-21,https://vyxebq-j8.myshopify.com/cdn/shop/files/Melanotan_II.pdf?v=7121483688030521971,Melanotan_II.pdf,1
melanotan-i,,,MELANOTAN I,M1266,99.47%,99.47%,1,10mg,11.03mg,1.03mg,Pass,Not Tested,Not Tested,HPLC-UV,2026-04-21,https://vyxebq-j8.myshopify.com/cdn/shop/files/Melanotan_I.pdf?v=10501359795324353974,Melanotan_I.pdf,1
dsip,,,DSIP,DP172,99.94%,99.94%,1,10mg,11.52mg,1.52mg,Pass,Not Tested,Not Tested,HPLC-UV,2026-04-21,https://vyxebq-j8.myshopify.com/cdn/shop/files/DSIP.pdf?v=862692792822684318,DSIP.pdf,1
ipamorelin,,,IPAMORELIN,IN278,99.92%,99.92%,1,10mg,10.29mg,.29mg,Pass,Not Tested,Not Tested,HPLC-UV,2026-05-19,https://vyxebq-j8.myshopify.com/cdn/shop/files/Ipamorelin_8018046b-a758-426b-95dd-9be6b321497c.pdf?v=14154372552299118501,Ipamorelin_8018046b-a758-426b-95dd-9be6b321497c.pdf,1
